date,state,cases,deaths
19.07.20,California,8266,13
20.07.20,California,8735,54
21.07.20,California,10171,119
22.07.20,California,12162,155
23.07.20,California,10647,152
24.07.20,California,9921,135
25.07.20,California,10231,103
26.07.20,California,6011,23
27.07.20,California,7765,93
28.07.20,California,7848,172
29.07.20,California,11088,168
30.07.20,California,8230,125
31.07.20,California,8004,213
01.08.20,California,7234,143
02.08.20,California,6430,34
03.08.20,California,6298,101
04.08.20,California,5023,196
05.08.20,California,5518,170
06.08.20,California,8237,148
07.08.20,California,7129,183
08.08.20,California,8016,102
09.08.20,California,7086,66
10.08.20,California,11023,95
11.08.20,California,11811,194
12.08.20,California,9019,154
13.08.20,California,8115,187
14.08.20,California,10031,151
15.08.20,California,8738,83
16.08.20,California,6527,16
17.08.20,California,6483,89
18.08.20,California,5508,189
19.08.20,California,6243,163
20.08.20,California,6659,115
21.08.20,California,6590,183
22.08.20,California,5334,153
23.08.20,California,4619,15
24.08.20,California,6292,98
25.08.20,California,6084,159
26.08.20,California,5292,138
27.08.20,California,5350,149
28.08.20,California,5427,140
29.08.20,California,4110,70
30.08.20,California,4090,33
31.08.20,California,5952,81
01.09.20,California,4087,129
02.09.20,California,5407,181
03.09.20,California,5363,167
04.09.20,California,5293,147
05.09.20,California,4382,64
06.09.20,California,3160,22
07.09.20,California,2456,33
08.09.20,California,3424,80
09.09.20,California,3083,147
10.09.20,California,3821,104
11.09.20,California,4108,171
12.09.20,California,3456,68
13.09.20,California,2808,53
14.09.20,California,3673,72
15.09.20,California,2855,148
16.09.20,California,3401,110
17.09.20,California,3626,91
18.09.20,California,4492,105
19.09.20,California,3640,111
20.09.20,California,3001,-5
21.09.20,California,4140,51
22.09.20,California,2860,140
23.09.20,California,3273,104
24.09.20,California,3321,76
25.09.20,California,4062,144
26.09.20,California,3481,55
27.09.20,California,2484,20
28.09.20,California,3098,33
29.09.20,California,3143,150
30.09.20,California,3186,107
01.10.20,California,3181,91
02.10.20,California,4058,85
03.10.20,California,3130,48
04.10.20,California,3141,28
05.10.20,California,3085,29
06.10.20,California,2602,72
07.10.20,California,3410,107
08.10.20,California,3652,67
09.10.20,California,3844,77
10.10.20,California,3074,66
11.10.20,California,2774,13
12.10.20,California,2883,13
13.10.20,California,3655,56
14.10.20,California,3480,102
15.10.20,California,3286,87
16.10.20,California,3721,62
17.10.20,California,2156,39
18.10.20,California,2137,39
19.10.20,California,4271,8
20.10.20,California,4428,80
21.10.20,California,3060,122
22.10.20,California,6271,77
23.10.20,California,5901,50
24.10.20,California,4319,29
25.10.20,California,2700,13
26.10.20,California,4355,40
27.10.20,California,4928,80
28.10.20,California,4053,63
29.10.20,California,4213,26
30.10.20,California,4933,60
31.10.20,California,3422,34
01.11.20,California,3635,10
02.11.20,California,5258,29
03.11.20,California,5242,51
04.11.20,California,5241,67
05.11.20,California,6260,48
06.11.20,California,6713,73
07.11.20,California,5204,25
08.11.20,California,6043,11
09.11.20,California,6754,60
10.11.20,California,8743,38
11.11.20,California,5157,36
12.11.20,California,9689,32
13.11.20,California,9865,77
14.11.20,California,7964,36
15.11.20,California,8965,11
16.11.20,California,11379,39
17.11.20,California,10736,56
18.11.20,California,11421,107
19.11.20,California,13157,88
20.11.20,California,13727,94
21.11.20,California,13443,60
22.11.20,California,8808,17
23.11.20,California,17694,42
24.11.20,California,16659,107
25.11.20,California,14144,107
26.11.20,California,8988,43
27.11.20,California,16934,75
28.11.20,California,13207,32
29.11.20,California,13218,19
30.11.20,California,17696,58
01.12.20,California,16675,118
02.12.20,California,18174,113
03.12.20,California,21846,146
04.12.20,California,24252,205
05.12.20,California,25006,85
06.12.20,California,28795,61
07.12.20,California,27227,115
08.12.20,California,26265,186
09.12.20,California,31782,228
10.12.20,California,33839,170
11.12.20,California,37124,218
12.12.20,California,26686,104
13.12.20,California,35807,85
14.12.20,California,30200,153
15.12.20,California,34216,287
16.12.20,California,60941,398
17.12.20,California,45314,274
18.12.20,California,48244,341
19.12.20,California,37358,155
20.12.20,California,42885,85
21.12.20,California,43255,244
22.12.20,California,35347,274
23.12.20,California,44758,379
24.12.20,California,34731,311
25.12.20,California,16772,20
26.12.20,California,64987,257
27.12.20,California,37555,62
28.12.20,California,41720,246
29.12.20,California,34166,425
30.12.20,California,32386,437
31.12.20,California,32264,574
